Date,Price
10/26/2021,168.8
10/25/2021,166.02
10/22/2021,166.78
10/21/2021,171.75
10/20/2021,170.75
10/19/2021,172.21
10/18/2021,172.34
10/15/2021,170.45
10/14/2021,164.99
10/13/2021,164.21
10/12/2021,162.37
10/11/2021,162.31
10/08/2021,164.43
10/07/2021,165.12
10/06/2021,163.1
10/05/2021,161.05
10/04/2021,159.49
10/01/2021,164.16
09/30/2021,164.25
09/29/2021,165.06
09/28/2021,165.8
09/27/2021,170.29
09/24/2021,171.28
09/23/2021,170.8
09/22/2021,169
09/21/2021,167.18
09/20/2021,167.79
09/17/2021,173.13
09/16/2021,174.41
09/15/2021,173.79
09/14/2021,172.5
09/13/2021,172.86
09/10/2021,173.46
09/09/2021,174.21
09/08/2021,176.28
09/07/2021,175.46
09/03/2021,173.9
09/02/2021,173.16
09/01/2021,173.95
08/31/2021,173.54
08/30/2021,171.08
08/27/2021,167.48
08/26/2021,165.8
08/25/2021,164.96
08/24/2021,165.29
08/23/2021,163.29
08/20/2021,160
08/19/2021,159.39
08/18/2021,160.06
08/17/2021,162.1
08/16/2021,164.95
08/13/2021,164.7
08/12/2021,165.18
08/11/2021,164.61
08/10/2021,166.03
08/09/2021,167.09
08/06/2021,167.25
08/05/2021,168.8
08/04/2021,167.74
08/03/2021,168.31
08/02/2021,166.57
07/30/2021,166.38
07/29/2021,180
07/28/2021,181.52
07/27/2021,181.32
07/26/2021,184.99
07/23/2021,182.83
07/22/2021,181.9
07/21/2021,179.26
07/20/2021,178.66
07/19/2021,177.48
07/16/2021,178.68
07/15/2021,181.56
07/14/2021,184.08
07/13/2021,183.87
07/12/2021,185.93
07/09/2021,185.97
07/08/2021,186.57
07/07/2021,184.83
07/06/2021,183.79
07/02/2021,175.55
07/01/2021,171.65
06/30/2021,172.01
06/29/2021,172.41
06/28/2021,172.19
06/25/2021,170.07
06/24/2021,172.45
06/23/2021,175.19
06/22/2021,175.27
06/21/2021,172.7
06/18/2021,174.34
06/17/2021,174.46
06/16/2021,170.76
06/15/2021,169.16
06/14/2021,169.19
06/11/2021,167.34
06/10/2021,167.48
06/09/2021,164.06
06/08/2021,163.21
06/07/2021,159.9
06/04/2021,160.31
06/03/2021,159.35
06/02/2021,161.7
06/01/2021,160.93
05/28/2021,161.15
05/27/2021,161.51
05/26/2021,163.26
05/25/2021,162.95
05/24/2021,162.25
05/21/2021,160.15
05/20/2021,162.38
05/19/2021,161.59
05/18/2021,161.61
05/17/2021,163.52
05/14/2021,161.15
05/13/2021,158.07
05/12/2021,157.6
05/11/2021,161.2
05/10/2021,159.52
05/07/2021,164.58
05/06/2021,165.32
05/05/2021,163.53
05/04/2021,165.59
05/03/2021,169.32
04/30/2021,173.37
04/29/2021,173.57
04/28/2021,172.93
04/27/2021,170.87
04/26/2021,170.45
04/23/2021,167.04
04/22/2021,165.45
04/21/2021,168.1
04/20/2021,166.73
04/19/2021,168.6
04/16/2021,169.97
04/15/2021,168.95
04/14/2021,166.65
04/13/2021,170
04/12/2021,168.97
