Date,Price
07/12/2021,10.11
07/09/2021,10.1
07/08/2021,9.91
07/07/2021,10.12
07/06/2021,10.24
07/02/2021,10.42
07/01/2021,10.56
06/30/2021,10.49
06/29/2021,10.51
06/28/2021,10.57
06/25/2021,10.77
06/24/2021,10.59
06/23/2021,10.2
06/22/2021,10.16
06/21/2021,10.26
06/18/2021,10.17
06/17/2021,10.42
06/16/2021,10.69
06/15/2021,10.76
06/14/2021,10.66
06/11/2021,10.7
06/10/2021,10.68
06/09/2021,10.78
06/08/2021,10.93
06/07/2021,11.11
06/04/2021,11.18
06/03/2021,11.15
06/02/2021,11.12
06/01/2021,11.14
05/28/2021,11.02
05/27/2021,11.14
05/26/2021,10.88
05/25/2021,10.78
05/24/2021,10.77
05/21/2021,10.69
05/20/2021,10.76
05/19/2021,10.46
05/18/2021,10.41
05/17/2021,10.51
05/14/2021,10.45
05/13/2021,10.28
05/12/2021,10.07
05/11/2021,10.1
05/10/2021,10.15
05/07/2021,10.39
05/06/2021,10.37
05/05/2021,10.37
05/04/2021,10.34
05/03/2021,10.61
04/30/2021,10.57
04/29/2021,10.73
04/28/2021,10.77
04/27/2021,10.61
04/26/2021,10.27
04/23/2021,10.45
04/22/2021,10.01
04/21/2021,10.38
04/20/2021,10.29
04/19/2021,10.7
04/16/2021,10.85
04/15/2021,10.76
04/14/2021,10.64
04/13/2021,10.63
04/12/2021,10.71
04/09/2021,10.65
04/08/2021,10.95
04/07/2021,10.87
04/06/2021,10.97
04/05/2021,10.87
04/01/2021,10.7
03/31/2021,10.6
03/30/2021,10.99
03/29/2021,11.39
03/26/2021,12.87
03/25/2021,13.21
03/24/2021,12.88
03/23/2021,12.89
03/22/2021,13.15
03/19/2021,13.08
03/18/2021,13.06
03/17/2021,13.13
03/16/2021,12.9
03/15/2021,13
03/12/2021,12.85
03/11/2021,13.29
03/10/2021,13.95
03/09/2021,13.98
03/08/2021,13.8
03/05/2021,13.89
03/04/2021,13.86
03/03/2021,14.06
03/02/2021,14.23
03/01/2021,14.7
02/26/2021,14.45
02/25/2021,14.54
02/24/2021,14.66
02/23/2021,14.3
02/22/2021,14.3
02/19/2021,14.08
02/18/2021,13.76
02/17/2021,14.17
02/16/2021,14.43
02/12/2021,13.91
02/11/2021,13.81
02/10/2021,13.83
02/09/2021,13.84
02/08/2021,13.78
02/05/2021,13.63
02/04/2021,13.72
02/03/2021,13.5
02/02/2021,13.4
02/01/2021,13.21
01/29/2021,13.05
01/28/2021,13.6
01/27/2021,13.16
01/26/2021,13.49
01/25/2021,13.56
01/22/2021,13.73
01/21/2021,13.75
01/20/2021,13.77
01/19/2021,13.63
01/15/2021,13.8
01/14/2021,13.97
01/13/2021,13.96
01/12/2021,14.07
01/11/2021,13.75
01/08/2021,13.69
01/07/2021,14.1
01/06/2021,13.79
01/05/2021,13.17
01/04/2021,12.89
12/31/2020,12.8
12/30/2020,12.81
12/29/2020,12.79
12/28/2020,12.76
12/24/2020,12.66
12/23/2020,12.75
12/22/2020,12.17
12/21/2020,12.32
12/18/2020,12.57
12/17/2020,12.74
12/16/2020,12.69
12/15/2020,12.73
12/14/2020,12.41
12/11/2020,12.45
12/10/2020,12.76
12/09/2020,13
12/08/2020,12.97
12/07/2020,13.11
12/04/2020,13.2
12/03/2020,13.03
12/02/2020,13.02
12/01/2020,12.89
11/30/2020,12.47
11/27/2020,12.93
11/25/2020,12.96
11/24/2020,13.02
11/23/2020,12.52
11/20/2020,12.22
11/19/2020,12.25
11/18/2020,12.05
11/17/2020,12.21
11/16/2020,12.03
11/13/2020,11.75
11/12/2020,11.51
11/11/2020,11.6
11/10/2020,11.69
11/09/2020,11.27
11/06/2020,10.57
11/05/2020,10.5
11/04/2020,10.12
11/03/2020,10.19
11/02/2020,9.63
10/30/2020,9.41
10/29/2020,9.38
10/28/2020,9.92
10/27/2020,10.34
10/26/2020,10.69
10/23/2020,10.87
10/22/2020,10.66
10/21/2020,10.63
10/20/2020,10.81
10/19/2020,10.62
10/16/2020,10.22
10/15/2020,10.23
10/14/2020,10.35
10/13/2020,10.45
10/12/2020,10.61
10/09/2020,10.47
10/08/2020,10.57
10/07/2020,10.48
10/06/2020,10.3
10/05/2020,10.32
10/02/2020,10.07
10/01/2020,9.91
09/30/2020,9.97
09/29/2020,9.83
09/28/2020,9.9
09/25/2020,9.48
09/24/2020,9.62
09/23/2020,9.68
09/22/2020,9.91
09/21/2020,10.08
09/18/2020,10.68
09/17/2020,10.98
09/16/2020,11.04
09/15/2020,10.92
09/14/2020,11.19
09/11/2020,10.76
09/10/2020,10.7
09/09/2020,10.76
09/08/2020,10.45
09/04/2020,10.92
09/03/2020,10.96
09/02/2020,10.98
09/01/2020,10.85
08/31/2020,10.97
08/28/2020,11.2
08/27/2020,11.14
08/26/2020,11.2
08/25/2020,11.1
08/24/2020,11.15
08/21/2020,10.96
08/20/2020,11.04
08/19/2020,11.15
08/18/2020,11.11
08/17/2020,11.28
08/14/2020,11.38
08/13/2020,11.41
08/12/2020,11.56
08/11/2020,11.29
08/10/2020,11.16
08/07/2020,11.01
08/06/2020,11.01
08/05/2020,11.04
08/04/2020,10.9
08/03/2020,10.77
07/31/2020,10.56
07/30/2020,10.46
07/29/2020,10.65
07/28/2020,10.54
07/27/2020,10.63
07/24/2020,10.57
07/23/2020,10.6
07/22/2020,10.78
07/21/2020,10.76
07/20/2020,10.69
07/17/2020,10.64
07/16/2020,10.66
07/15/2020,10.75
07/14/2020,10.75
07/13/2020,10.45
07/10/2020,10.57
07/09/2020,10.24
07/08/2020,10.51
07/07/2020,10.37
07/06/2020,10.64
07/02/2020,10.31
07/01/2020,10.17
06/30/2020,10.31
06/29/2020,10.15
06/26/2020,9.99
06/25/2020,10.26
06/24/2020,9.91
06/23/2020,10.35
06/22/2020,10.2
06/19/2020,10.1
06/18/2020,10.17
06/17/2020,10.18
06/16/2020,10.2
06/15/2020,10.02
06/12/2020,9.97
06/11/2020,9.74
06/10/2020,10.53
06/09/2020,10.71
06/08/2020,10.95
06/05/2020,10.47
06/04/2020,10.21
06/03/2020,10.17
06/02/2020,9.59
06/01/2020,9.25
05/29/2020,9.06
05/28/2020,9.31
05/27/2020,9.28
05/26/2020,8.77
05/22/2020,8.26
05/21/2020,8.46
05/20/2020,8.55
05/19/2020,8.31
05/18/2020,8.47
05/15/2020,7.66
05/14/2020,7.78
05/13/2020,7.73
05/12/2020,8
05/11/2020,8.18
05/08/2020,8.41
05/07/2020,8.3
05/06/2020,8.13
05/05/2020,8.25
05/04/2020,8.52
05/01/2020,8.67
04/30/2020,9.04
04/29/2020,9.37
04/28/2020,8.84
04/27/2020,8.38
04/24/2020,8.08
04/23/2020,7.88
04/22/2020,7.89
04/21/2020,7.76
