Date,Price
04/21/2021,77.97
04/20/2021,80.53
04/19/2021,79.79
04/16/2021,80.94
04/15/2021,80.18
04/14/2021,79.13
04/13/2021,79.04
04/12/2021,77.64
04/09/2021,77.94
04/08/2021,77.76
04/07/2021,77.41
04/06/2021,77.56
04/05/2021,76.78
04/01/2021,75.77
03/31/2021,75.61
03/30/2021,74.22
03/29/2021,74.8
03/26/2021,74.06
03/25/2021,73.45
03/24/2021,72.83
03/23/2021,74.02
03/22/2021,71.69
03/19/2021,70.84
03/18/2021,71.13
03/17/2021,72.96
03/16/2021,75.38
03/15/2021,75.52
03/12/2021,75.67
03/11/2021,74.86
03/10/2021,74.46
03/09/2021,74.02
03/08/2021,70.86
03/05/2021,70.7
03/04/2021,71.29
03/03/2021,72.52
03/02/2021,75.54
03/01/2021,75.91
02/26/2021,73.48
02/25/2021,74.06
02/24/2021,73.76
02/23/2021,74.71
02/22/2021,75.1
02/19/2021,78.1
02/18/2021,80.73
02/17/2021,80.68
02/16/2021,81.19
02/12/2021,83.13
02/11/2021,83.95
02/10/2021,83.91
02/09/2021,83.83
02/08/2021,83.4
02/05/2021,83.6
02/04/2021,83
02/03/2021,83.05
02/02/2021,82.93
02/01/2021,81.7
01/29/2021,80.87
01/28/2021,82.46
01/27/2021,80.19
01/26/2021,85.23
01/25/2021,86.87
01/22/2021,84.21
01/21/2021,83.71
01/20/2021,84.05
01/19/2021,82.81
01/15/2021,82.04
01/14/2021,82.53
01/13/2021,81.84
01/12/2021,79.75
01/11/2021,79.69
01/08/2021,81.13
01/07/2021,79.29
01/06/2021,78.43
01/05/2021,74.77
01/04/2021,74.22
12/31/2020,77.15
12/30/2020,75.91
12/29/2020,75.33
12/28/2020,75.49
12/24/2020,74.98
12/23/2020,74.33
12/22/2020,74.71
12/21/2020,74.4
12/18/2020,74.51
12/17/2020,75.06
12/16/2020,74.44
12/15/2020,74.91
12/14/2020,73.55
12/11/2020,73.8
12/10/2020,73.28
12/09/2020,73.67
12/08/2020,73.68
12/07/2020,73.27
12/04/2020,72.52
12/03/2020,73.35
12/02/2020,74.31
12/01/2020,74.15
11/30/2020,73.59
11/27/2020,75.13
11/25/2020,75.97
11/24/2020,74.98
11/23/2020,74.57
11/20/2020,75.55
11/19/2020,75.13
11/18/2020,75.79
11/17/2020,76.61
11/16/2020,77.75
11/13/2020,77.19
11/12/2020,76.67
11/11/2020,77.54
11/10/2020,75.99
11/09/2020,75.51
11/06/2020,75.72
11/05/2020,74.75
11/04/2020,73.32
11/03/2020,76.02
11/02/2020,75.13
10/30/2020,73.21
10/29/2020,74.01
10/28/2020,74.46
10/27/2020,75.78
10/26/2020,75.66
